X,Y,OBJECTID,TLIGHTS_,TLIGHTS_ID,SITE_NO,SITE_NAME,SITE_TYPE,DIRECTORY,DIR_REF,D_ADDED,D_TOWNS,D_EDITED,D_REMOVED,LINK_MODE,STATUS,COMMENTS,MULTI,UFI,ARC_UFI
2634880.572399949654937,2366462.267196686938405,45112,,,6682,GREY BTN FRANKLIN & WRIGHT,FLASH PX,,,,,,,,OPERATIONAL,,,,
2634738.137799947988242,2366241.970996687188745,45113,,,6683,FRANKLIN NR POST OFFICE PLACE,FLASH PX,,,,,,,,OPERATIONAL,,,,
2634613.162799945101142,2366169.271596685051918,45114,,,6684,SEYMOUR BTN FRANKLIN & CHURCH,FLASH PX,,,,,,,,OPERATIONAL,,,,
2804454.955499883275479,2415754.544896714389324,45115,,,5670,NICHOLSON BTN RAYMOND & LOCHIEL,FLASH PX,,,,,,,,OPERATIONAL,,,,
2505726.580499996896833,2400440.727096702903509,45116,,,3567,MURRUMBEENA/KANGAROO,INT,,,,,,,,OPERATIONAL,Bluetooth,,,
2518608.075299992691725,2385489.306696689687669,45117,,,304,FRANKSTON-DANDENONG/ABBOTTS,INT,,,,,,,,OPERATIONAL,Bluetooth,,,
2489604.677700002212077,2404874.736196702346206,45118,,,3507,KOROROIT CREEK NR ADELINE,POS,,,,,,,,OPERATIONAL,Bluetooth,,,
2527477.606599991209805,2389345.115996692329645,45119,,,401,NARRE WARREN NTH/ERNST WANKE,INT,,,,,,,,OPERATIONAL,"Bluetooth,SAFECAM,SRLC",,,
2250391.779100093990564,2526728.581396829336882,45120,,,6408,WESTERN HWY/WILLIAMS/DUFF,INT,,,,,,,,OPERATIONAL,"Bluetooth,DIDO",,,
2484445.371300002560019,2415458.813896712847054,45121,,,2670,FURLONG NR CAMPERDOWN,POS,,,,,,,,OPERATIONAL,,,,
2484899.797800002153963,2415387.059996706433594,45122,,,2671,FURLONG NR FORD,POS,,,,,,,,OPERATIONAL,PELICAN,,,
2482358.311700007878244,2417254.30199671164155,45123,,,2672,MCKECHNIE BTN MARSDEN & ENA,FLASH PX,,,,,,,,OPERATIONAL,,,,
2501187.819300002418458,2409908.75699670240283,45124,,,4654,VICTORIA/RIVER,INT,,,,,,,,OPERATIONAL,TRAM PRI,,,
2510970.512199994176626,2373030.486596687696874,45125,,,757,YOUNG NR WELLS,FLASH PX,,,,,,,,OPERATIONAL,,,,
2513678.518099994864315,2396336.007896698080003,45126,,,943,SPRINGVALE/SPOTLIGHT CENTRE,INT,,,,,,,,OPERATIONAL,,,,
2526439.366299991495907,2386509.368296690285206,45127,,,445,PHE/OVERLAND,INT,,,,,,,,OPERATIONAL,,,,
2485217.120800008997321,2347820.231896679848433,45128,,,308,POINT NEPEAN/HYGEIA,INT,,,,,,,,OPERATIONAL,DUST,,,
2495239.57199999923,2409586.403296705335379,45129,,,4515,LATROBE NR HARBOUR,POS,,,,,,,,OPERATIONAL,TRAM PRI,,,
2444295.253300026524812,2372727.350296684540808,45130,,,5048,YARRA/EASTERN BEACH,INT,,,,,,,,OPERATIONAL,,,,
2495347.534900004975498,2409717.095996706746519,45131,,,4527,WURUNDJERI/TELSTRA DOME N/E ENTRANCE,INT,,,,,,,,OPERATIONAL,,,,
2497249.963899999857,2411522.471496709622443,45132,,,3417,ELGIN/DRUMMOND,INT,,,,,,,,OPERATIONAL,,,,
2512852.020099994260818,2400649.144096701405942,45133,,,539,MONASH FWY/BLACKBURN O/B,RAMP MTR,,,,,,,,OPERATIONAL,Bluetooth,,,
2498683.399400004651397,2408542.482296701520681,45134,,,3409,OLYMPIC BLVD/RECTANGULAR STADIUM EAST AC,INT,,,,,,,,OPERATIONAL,EVP,,,
