OBJECTID,SRNS1,DECLARED,ROADNAME,LOCALNAME,ALTNAME,ALT2NAME,RMACLASS,Shape__Length,GlobalID
20080,B400,MURRAY VALLEY HIGHWAY,MURRAY VALLEY HIGHWAY,BROMLEY ROAD,   ,   ,AH,521.834433467086,ff2d673f-96bf-486c-96e6-51a405665d2f
20081,B400,MURRAY VALLEY HIGHWAY,MURRAY VALLEY HIGHWAY,BROMLEY ROAD,   ,   ,AH,1457.70010221946,e8d86664-9761-4640-91ee-8d78c0dd2ade
20082,N,EASTLINK  ,EASTLINK  ,EASTLINK OUT-MAROONDAH RAMP,   ,   ,FW,20.7952064647692,1052a8c4-62f2-44de-946f-ab465bdc6ef4
20083,M3,EASTLINK  ,EASTLINK  ,POLICE-EASTLINK IN RAMP,   ,   ,FW,570.942723510161,946676f0-4960-4aed-a785-8e6e438e27cc
20084,C117,SEPARATION STREET,SEPARATION STREET,DUNN STREET,   ,   ,AO,211.052580624932,5843b5b0-49cd-45e6-9ddc-3eb9b2f3fada
20085,C117,SEPARATION STREET,SEPARATION STREET,DUNN STREET,   ,   ,AO,26.2422376198221,6deb4258-ecb0-4516-9248-4137ec8a2990
20086,C117,SEPARATION STREET,SEPARATION STREET,DUNN STREET,   ,   ,AO,210.804473707449,2ea21c60-ce0c-405b-9087-730c1639525d
20087,M1,PRINCES FREEWAY EAST,PRINCES FREEWAY EAST,KORUMBURRA-WARRAGUL-PRINCES OUT RAMP,   ,   ,FW,576.957929541371,bae4572a-6ac9-4f29-bdfd-9245942ce925
20088,M11,MORNINGTON PENINSULA FREEWAY,MORNINGTON PENINSULA FREEWAY,MORNINGTON PENINSULA IN-MOOROODUC RAMP,   ,   ,FW,254.929474224076,d1c97fde-bfd1-4d8f-be78-5b2d9c3c753e
20089,M1,DROUIN-WARRAGUL ROAD,DROUIN-WARRAGUL ROAD,PRINCES OUT-DROUIN-WARRAGUL RAMP,   ,   ,AO,17.3185635052649,c7a8cfe4-0fff-4e38-be4b-563cb7488e6f
20090,A20,STURT HIGHWAY,STURT HIGHWAY,FIFTEENTH STREET,CALDER HIGHWAY,   ,AH,21.3135502951891,5e3d0b4f-297d-475e-bab5-4894670e374b
20091,A20,STURT HIGHWAY,STURT HIGHWAY,FIFTEENTH STREET,   ,   ,AH,21.3390367823093,de366ec8-ab85-4e15-8bb4-d023f4267509
20092,C805,BALLARAT-BURRUMBEET ROAD,BALLARAT-BURRUMBEET ROAD,MAIR STREET,BALLARAT-BURRUMBEET ROAD,BURRUMBEET-BALLARAT ROAD,AO,10.3886484350013,592a66a2-84c3-42b0-8e7f-d2d8fca7a5b3
20093,C805,BALLARAT-BURRUMBEET ROAD,BALLARAT-BURRUMBEET ROAD,MAIR STREET,BALLARAT-BURRUMBEET ROAD,BURRUMBEET-BALLARAT ROAD,AO,465.850138970465,626454dd-c8ab-4330-8d66-a1b543998cc4
20094,C805,BALLARAT-BURRUMBEET ROAD,BALLARAT-BURRUMBEET ROAD,MAIR STREET,BALLARAT-BURRUMBEET ROAD,BURRUMBEET-BALLARAT ROAD,AO,14.7250923076551,ddba5f7d-01d8-4a0c-91ca-84b7efc5b53d
20095,C805,BALLARAT-BURRUMBEET ROAD,BALLARAT-BURRUMBEET ROAD,MAIR STREET,BALLARAT-BURRUMBEET ROAD,BURRUMBEET-BALLARAT ROAD,AO,976.088730965974,eb65398e-eb99-4493-8cde-c396488eb573
20096,C805,BALLARAT-BURRUMBEET ROAD,BALLARAT-BURRUMBEET ROAD,MAIR STREET,BALLARAT-BURRUMBEET ROAD,BURRUMBEET-BALLARAT ROAD,AO,464.671046279068,faafa50b-33e2-43e9-91e5-834b3fd49ed0
20097,C805,BALLARAT-BURRUMBEET ROAD,BALLARAT-BURRUMBEET ROAD,MAIR STREET,   ,   ,AO,28.1614544226976,3b8fcb68-b374-45c1-a38b-cfb70a1e5d1d
20098,C161,CARLISLE-COLAC ROAD,CARLISLE-COLAC ROAD,CARLISLE ROAD,CARLISLE NORTH ROAD,CARLISLE-COLAC ROAD,AO,9788.65160790298,8fe91170-9236-4f7d-8f51-48d627e5b240
20099,C161,CARLISLE-COLAC ROAD,CARLISLE-COLAC ROAD,CARLISLE ROAD,CARLISLE-COLAC ROAD,COLAC-CARLISLE ROAD,AO,8689.83884018814,a6712572-078f-4273-8cca-1ff32770b4e5
20100,C743,MELBOURNE-LANCEFIELD ROAD,MELBOURNE-LANCEFIELD ROAD,BULLA-DIGGERS REST ROAD,   ,   ,AO,25.1529675479708,dc330694-6a44-484f-902c-c0636a7ce525
20101,C307,DELACOMBE-WENDOUREE ROAD,DELACOMBE-WENDOUREE ROAD,LEARMONTH STREET,   ,   ,AO,209.256969365581,f89344ba-4727-467b-a1e4-2ea7a236c16a
20102,M3,EASTLINK  ,EASTLINK  ,EASTLINK  ,   ,   ,FW,4347.7726567557,0a3152bb-404c-4dc6-b950-a411ede0d39a
20103,M3,EASTLINK  ,EASTLINK  ,EASTLINK  ,   ,   ,FW,1747.9600211752,524aab9e-9893-4b27-a571-8f5283905984
20104,M3,EASTLINK  ,EASTLINK  ,EASTLINK  ,   ,   ,FW,30557.9856618611,daf421ed-f918-4260-9068-ab160d58a654
20105,M3,EASTLINK  ,EASTLINK  ,EASTLINK  ,   ,   ,FW,1766.19788188072,7892b421-83dd-4f60-bb65-4fe3af43aaaa
20106,M3,EASTLINK  ,EASTLINK  ,EASTLINK  ,   ,   ,FW,4335.17130173096,9f181590-9b05-45c2-b759-81f1697a65bb
20107,M3,EASTLINK  ,EASTLINK  ,EASTLINK  ,   ,MITCHAM-FRANKSTON FREEWAY,FW,30215.5307805442,28e65743-23e2-4102-938a-3c69f3fa6016
20108,M80,WESTERN RING ROAD,WESTERN RING ROAD,WESTERN RING OUT-KEILOR PARK RAMP,   ,   ,FW,463.014952234601,6482dc6a-6a5d-4350-87a3-01fe6ee64191
20109,C188,DUNKELD-CAVENDISH ROAD,DUNKELD-CAVENDISH ROAD,SCOTT STREET,CAVENDISH-DUNKELD ROAD,DUNKELD-CAVENDISH ROAD,AO,438.158349384667,6a2628ef-04b1-4233-92ae-be29a0d85590
20110,M1,PRINCES FREEWAY EAST,PRINCES FREEWAY EAST,NAR NAR GOON-LONGWARRY-PRINCES IN RAMP,   ,   ,FW,601.627549373637,e78265bb-312e-47de-9b12-1a580cacbf93
20111,C221,STAWELL-AVOCA ROAD,STAWELL-AVOCA ROAD,MAIN STREET,AVOCA-STAWELL ROAD,STAWELL-AVOCA ROAD,AO,446.267712543321,a2ed50ce-6ccf-446c-914c-a07198bc5cd6
20112,C221,STAWELL-AVOCA ROAD,STAWELL-AVOCA ROAD,MAIN STREET,AVOCA-STAWELL ROAD,BYRNE STREET,AO,74.9459636184647,f2da8a8f-c75b-4b33-98f8-14eda467d184
20113,M420,SOUTH GIPPSLAND FREEWAY,SOUTH GIPPSLAND FREEWAY,POUND-SOUTH GIPPSLAND IN RAMP,   ,   ,FW,505.94223447068,bf1642f1-89c1-4362-9236-15107a9ff8d6
20114,C453,WOODSIDE BEACH ROAD,WOODSIDE BEACH ROAD,WOODSIDE BEACH ROAD,   ,   ,AO,9113.28599843652,938adf72-77ed-46b1-81c4-2b3ca6ef0b09
20115,M11,MORNINGTON PENINSULA FREEWAY,MORNINGTON PENINSULA FREEWAY,PENINSULA LINK OUT-FRANKSTON-DANDENONG RAMP,   ,   ,FW,493.104215680143,e0f12074-9167-4c9a-b874-40d2a454d558
20116,C221,STAWELL-AVOCA ROAD,STAWELL-AVOCA ROAD,STAWELL-AVOCA ROAD,AVOCA-STAWELL ROAD,NAVARRE ROAD,AO,34219.4793370719,c610df01-a6f6-4f00-890a-80729b7cbc6c
20117,C221,STAWELL-AVOCA ROAD,STAWELL-AVOCA ROAD,STAWELL-AVOCA ROAD,AVOCA-STAWELL ROAD,MOONAMBEL ROAD,AO,6141.8229676963,7d1e4aaf-c913-4f3c-b67a-bf21a34f1a60
20118,C221,STAWELL-AVOCA ROAD,STAWELL-AVOCA ROAD,STAWELL-AVOCA ROAD,AVOCA-STAWELL ROAD,BROOKE STREET,AO,23360.0042093334,045eb590-08b6-4506-b875-3cbea7e35686
20119,C335,IRONBARK-WHITE HILLS ROAD,IRONBARK-WHITE HILLS ROAD,BARNARD STREET,   ,   ,AO,1646.26057479406,911af681-8c64-453c-98ed-169925356e90
20120,N,WESTERN FREEWAY,WESTERN FREEWAY,WESTERN OUT-MIDLAND RAMP,   ,   ,FW,57.0954882875454,91180ec0-ff82-46d9-aeca-be5a2269939f
20121,C273,LOGAN-WEDDERBURN ROAD,LOGAN-WEDDERBURN ROAD,ST ARNAUD ROAD,   ,   ,AO,1577.99210999342,2277fc31-b263-47d6-b461-8d3a601d71bf
20122,N,MORELAND ROAD,MORELAND ROAD,MORELAND ROAD,   ,   ,AO,4880.34328551949,0f9f9fc8-2979-4eb5-b42d-978637cc2b19
20123,M8,WESTERN FREEWAY,WESTERN FREEWAY,LEAKES-WESTERN IN RAMP,   ,   ,FW,575.249736320148,821394c4-b54a-449a-9160-1a5e7b10296a
20124,M420,SOUTH GIPPSLAND FREEWAY,SOUTH GIPPSLAND FREEWAY,SOUTH GIPPSLAND OUT-PRINCES RAMP,   ,   ,FW,324.265427968197,8a43243e-5b38-4126-bfd3-4e1c58ce40e0
20125,C292,DAYLESFORD-BALLARAT ROAD,DAYLESFORD-BALLARAT ROAD,BALLARAT-DAYLESFORD ROAD,DAYLESFORD-BALLARAT ROAD,   ,AO,17908.8499040968,40e85c95-03a1-4d5c-a40c-be6a0fb144f2
20126,C404,CRANBOURNE-NARRE WARREN ROAD,CRANBOURNE-NARRE WARREN ROAD,NARRE WARREN-CRANBOURNE ROAD,   ,   ,AO,87.6515010462773,e50e4205-27a4-471f-adbc-d3109a5f9a51
20127,N,WESTERN FREEWAY,WESTERN FREEWAY,WESTERN FREEWAY,   ,   ,FW,48.5958159620402,d10e9ffc-cee9-4ef5-9bc6-abb8e7376a82
20128,N,WESTERN FREEWAY,WESTERN FREEWAY,WESTERN FREEWAY,   ,   ,FW,281.756113805791,7e78e1a5-4616-40eb-a1ef-e9d8fdd5d82e
20129,N,PRINCES FREEWAY EAST,PRINCES FREEWAY EAST,PRINCES IN-DROUIN-WARRAGUL RAMP,   ,   ,FW,522.803237535616,aedcda66-c225-46c3-841c-98e3b3adce2e
20130,M31,HUME FREEWAY,HUME FREEWAY,HUME IN-RUTHERGLEN-SPRINGHURST RAMP,   ,   ,FW,654.609846757564,5e3995ca-f140-4adb-89bf-59728939abe4
20131,N,BROADWAY  ,BROADWAY  ,BOLDREWOOD PARADE,   ,   ,AO,21.0073500558627,788cec09-1d3f-4bb8-a17a-36dcfbb6ce58
20132,N,BROADWAY  ,BROADWAY  ,BOLDREWOOD PARADE,   ,   ,AO,61.5743936246577,3afdda62-03c5-4994-beac-e81bb4f7e692
20133,N,BROADWAY  ,BROADWAY  ,BOLDREWOOD PARADE,   ,   ,AO,60.549054515884,e19c0d01-dc6c-4a6c-9653-db233a4ac31a
20134,N,BROADWAY  ,BROADWAY  ,BOLDREWOOD PARADE,   ,   ,AO,762.198624557674,6a335686-2358-4c0e-ad59-c6174bb0c21f
20135,C431,WESTERNPORT ROAD,WESTERNPORT ROAD,WESTERNPORT ROAD,   ,   ,AO,29816.9384094651,0abec507-547f-49ad-a720-85bd7439420b
20136,A300,MIDLAND HIGHWAY,MIDLAND HIGHWAY,COMMERCIAL ROAD,   ,   ,AH,74.8052846609811,4b071675-1eab-4d2d-b54c-e1ea696108f6
20137,M3,EASTLINK  ,EASTLINK  ,HEATHERTON-EASTLINK OUT RAMP,   ,   ,FW,549.789018132278,478af07e-16ab-4fa1-9b79-345aa697655e
20138,N,STATE (BELL/SPRINGVALE) HIGHWAY,STATE (BELL/SPRINGVALE) HIGHWAY,BANKSIA STREET,   ,   ,AH,1389.36725107148,ba8f6014-5862-455e-9568-31057eb4e9d3
20139,N,STATE (BELL/SPRINGVALE) HIGHWAY,STATE (BELL/SPRINGVALE) HIGHWAY,BANKSIA STREET,   ,   ,AH,100.043415409472,e0fd2845-66d0-4ad6-ba9d-53e8ff7be4e8
20140,N,STATE (BELL/SPRINGVALE) HIGHWAY,STATE (BELL/SPRINGVALE) HIGHWAY,BANKSIA STREET,   ,   ,AH,10.5169872770473,09101a43-13f0-4b4d-8250-66b741752b6d
20141,N,STATE (BELL/SPRINGVALE) HIGHWAY,STATE (BELL/SPRINGVALE) HIGHWAY,BANKSIA STREET,   ,   ,AH,46.326173331861,f7c45559-5aad-4402-9483-460dff9680b6
20142,N,STATE (BELL/SPRINGVALE) HIGHWAY,STATE (BELL/SPRINGVALE) HIGHWAY,BANKSIA STREET,   ,   ,AH,171.885288070685,1acd35d7-663a-4a3c-a192-d89612ed0b0b
20143,N,STATE (BELL/SPRINGVALE) HIGHWAY,STATE (BELL/SPRINGVALE) HIGHWAY,BANKSIA STREET,   ,   ,AH,155.971329835428,1dabe974-3275-4722-bade-42ef5d8c8290
20144,N,STATE (BELL/SPRINGVALE) HIGHWAY,STATE (BELL/SPRINGVALE) HIGHWAY,BANKSIA STREET,   ,   ,AH,159.951333544192,d90596a7-2fa4-4083-898d-205136f02f72
20145,N,STATE (BELL/SPRINGVALE) HIGHWAY,STATE (BELL/SPRINGVALE) HIGHWAY,BANKSIA STREET,   ,   ,AH,994.11027442031,a6cd8552-44fa-435e-8a30-89f211382ef8
20146,N,STATE (BELL/SPRINGVALE) HIGHWAY,STATE (BELL/SPRINGVALE) HIGHWAY,BANKSIA STREET,   ,   ,AH,239.956451166566,06d33a07-d33e-444a-8cec-1e082cc85beb
20147,N,STATE (BELL/SPRINGVALE) HIGHWAY,STATE (BELL/SPRINGVALE) HIGHWAY,BANKSIA STREET,   ,   ,AH,223.240896091128,78e71d61-9c57-4562-a95d-5ea2ae4fd717
20148,C453,WOODSIDE BEACH ROAD,WOODSIDE BEACH ROAD,PRINCE STREET,   ,   ,AO,620.804891159754,dda96e40-2e3f-4b55-87c3-8343cf0b95b2
20149,C133,QUEENS PARK ROAD,QUEENS PARK ROAD,SCENIC ROAD,   ,   ,AO,2312.40810023348,01c66d8d-c1dc-40fe-834e-11e5e457fbce
20150,M11,MORNINGTON PENINSULA FREEWAY,MORNINGTON PENINSULA FREEWAY,ARTHURS SEAT-MORNINGTON PENINSULA OUT RAMP,   ,   ,FW,449.538568005989,59685267-8293-45a2-9c5f-9884fad1b7d5
20151,M3,EASTERN FREEWAY,EASTERN FREEWAY,EASTERN OUT-BULLEEN RAMP,   ,   ,FW,497.518840423598,e67bddac-9343-4cf1-8f58-aec5938aa506
20152,C794,MALMSBURY-ELPHINSTONE ROAD,MALMSBURY-ELPHINSTONE ROAD,CALDER IN-MALMSBURY EAST RAMP,   ,   ,AO,8.75333519884167,1d67aa33-b700-445f-bcd8-a5952420ee62
20153,N,HUME FREEWAY,HUME FREEWAY,HUME IN-WATSON RAMP,   ,   ,FW,60.60694013792,fb86019b-340b-47b8-ab12-56dc9457a4e4
20154,M8,WESTERN FREEWAY,WESTERN FREEWAY,GILLIES-WESTERN IN RAMP,   ,   ,FW,464.052757118941,4d7a3158-9a08-4af2-93a1-02b2a82d78da
